Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2023-05-17,170.00785308163907,171.2157453771671,168.7306323338431,170.97813415527344,57951600,0.0,0.0
2023-05-18,171.28503138533677,173.50283145007626,170.86919670585942,173.31471252441406,65496700,0.0,0.0
2023-05-19,174.64144781679403,174.64144781679403,173.20582466782196,173.42364501953125,55772400,0.0,0.0
2023-05-22,172.25533943207657,172.97811385055638,171.73059450812943,172.47315979003906,43570900,0.0,0.0
2023-05-23,171.41378851785805,171.66131029872133,169.58212129645744,169.85934448242188,50747300,0.0,0.0
2023-05-24,169.39397044171028,170.71078788094945,168.82962874348078,170.13653564453125,45143500,0.0,0.0
2023-05-25,170.70089424192957,172.1761141248664,169.98803043113716,171.275146484375,56058300,0.0,0.0
2023-05-26,171.60189457506777,174.02760482348145,171.39396964747598,173.6909637451172,54835000,0.0,0.0
2023-05-30,175.20579349606086,177.21566879798618,174.81966018947244,175.54241943359375,55964400,0.0,0.0
2023-05-31,175.57214396008078,177.5721240946458,175.00778707206032,175.49293518066406,99625300,0.0,0.0
2023-06-01,175.9384564736909,178.33446519527467,175.17608525533697,178.3047637939453,68901800,0.0,0.0
2023-06-02,179.2354435119536,179.97800874169684,177.48298533965166,179.15623474121094,61945900,0.0,0.0
2023-06-05,180.81960374527281,183.11659785767154,176.27509267968756,177.79983520507812,121946500,0.0,0.0
2023-06-06,178.18594757320713,178.33445457100666,175.6711182885981,177.43348693847656,64848400,0.0,0.0
2023-06-07,176.67113061333816,179.41367589423808,175.56223798316736,176.05728149414062,61944600,0.0,0.0
2023-06-08,176.1364684949153,179.04732664647344,175.70084291207064,178.78001403808594,50214900,0.0,0.0
2023-06-09,179.70079329510486,180.42355258623877,178.83942242611607,179.16615295410156,48870700,0.0,0.0
2023-06-12,179.473070311983,182.0670933538608,179.17604119777275,181.96807861328125,54274900,0.0,0.0
2023-06-13,180.98790470199526,182.32451307330234,180.63147278147434,181.4928436279297,54929100,0.0,0.0
2023-06-14,181.55225831570974,182.5621513412214,180.21564985689943,182.1265106201172,57462900,0.0,0.0
2023-06-15,182.13639531405346,184.67101539623405,181.95817181365123,184.1660614013672,65433200,0.0,0.0
2023-06-16,184.87893857146415,185.1363708565112,182.4433330473612,183.08688354492188,101235600,0.0,0.0
2023-06-20,182.58196693246393,184.2552165596262,182.58196693246393,183.17601013183594,49799100,0.0,0.0
2023-06-21,183.06706733943585,183.5720213426237,180.77996894802234,182.1363983154297,49515700,0.0,0.0
2023-06-22,181.91857754734076,185.1957628610581,181.84926421078353,185.14625549316406,51245300,0.0,0.0
2023-06-23,183.71063403229002,185.70070333532985,183.17597862652977,184.8294219970703,53079300,0.0,0.0
2023-06-26,184.97794384564872,186.18585111473345,183.39379870692287,183.43341064453125,48088700,0.0,0.0
2023-06-27,184.04726807160984,186.52248552112178,183.8294477274505,186.1957550048828,50730800,0.0,0.0
2023-06-28,186.0670251747448,188.0174975900725,185.7403097900696,187.3739471435547,51216800,0.0,0.0
2023-06-29,187.2056476277424,188.18583917474905,187.06703605511274,187.71058654785156,46347300,0.0,0.0
2023-06-30,189.73036510372253,192.55210381756805,189.36402266288647,192.0471649169922,85069600,0.0,0.0
2023-07-03,191.85906155166862,191.95807629669292,189.8590815409033,190.55215454101562,31458200,0.0,0.0
2023-07-05,189.67096065277283,191.06697174397888,188.73036598215447,189.43333435058594,46920300,0.0,0.0
2023-07-06,187.95811200082892,190.11650951153766,187.32445692665846,189.90858459472656,45094300,0.0,0.0
2023-07-07,189.5125693591173,190.76007362639882,188.35416930217096,188.789794921875,46778000,0.0,0.0
2023-07-10,187.38386117936162,188.10663557063202,185.18586681905202,186.7403106689453,59922200,0.0,0.0
2023-07-11,187.28485666382537,187.4234682366511,184.75023641356677,186.21556091308594,46638100,0.0,0.0
2023-07-12,187.79970514631046,189.79968522544766,186.60170827121757,187.88882446289062,60750200,0.0,0.0
2023-07-13,188.61157199087162,189.29473443261006,187.89870814797314,188.6511688232422,41342300,0.0,0.0
2023-07-14,188.3442359735881,189.28481555311026,187.75019286903466,188.7996826171875,41573900,0.0,0.0
2023-07-17,189.9976776399959,192.39370132812152,189.9085734412509,192.0669708251953,50520200,0.0,0.0
2023-07-18,191.433317028607,192.40359800546008,190.51252831302557,191.80953979492188,48353800,0.0,0.0
2023-07-19,191.1857808476927,196.26491622319193,190.74022966968735,193.16595458984375,80507300,0.0,0.0
2023-07-20,193.1560464503255,194.52237118378105,190.5917250482106,191.21548461914062,59581200,0.0,0.0
2023-07-21,192.17589935868594,193.03727024392953,189.33433929774543,190.0373077392578,71917800,0.0,0.0
2023-07-24,191.49274025459553,192.97787083183135,190.3442356490594,190.8392791748047,45377800,0.0,0.0
2023-07-25,191.4135040021873,192.51250107589357,191.0075647435374,191.70062255859375,37283200,0.0,0.0
2023-07-26,191.75014067908202,193.70061320853526,191.40361930588426,192.57191467285156,47471900,0.0,0.0
2023-07-27,194.07685782549473,195.24515323301043,190.6412547294524,191.3046112060547,47460200,0.0,0.0
2023-07-28,192.74024356896163,194.6808208278144,192.21549864281087,193.8887481689453,48291400,0.0,0.0
